epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.65971E+12,2022-08-05T10:25:14.058,33.36,0.4,0.157,0.377
1.65971E+12,2022-08-05T10:25:14.098,33.4,0.578,0.209,0.463
1.65971E+12,2022-08-05T10:25:14.138,33.44,0.539,0.211,0.669
1.65971E+12,2022-08-05T10:25:14.178,33.48,0.558,0.22,0.736
1.65971E+12,2022-08-05T10:25:14.218,33.52,0.612,0.182,0.83
1.65971E+12,2022-08-05T10:25:14.258,33.56,0.653,0.235,0.956
1.65971E+12,2022-08-05T10:25:14.298,33.6,0.588,0.276,1.048
1.65971E+12,2022-08-05T10:25:14.338,33.64,0.488,0.5,1.182
1.65971E+12,2022-08-05T10:25:14.378,33.68,0.204,0.69,1.182
1.65971E+12,2022-08-05T10:25:14.418,33.72,-0.083,0.427,0.91
1.65971E+12,2022-08-05T10:25:14.458,33.76,-0.063,0.558,0.902
1.65971E+12,2022-08-05T10:25:14.498,33.8,-0.198,0.587,0.965
1.65971E+12,2022-08-05T10:25:14.538,33.84,-0.185,0.515,0.921
1.65971E+12,2022-08-05T10:25:14.578,33.88,-0.189,0.499,0.821
1.65971E+12,2022-08-05T10:25:14.618,33.92,-0.171,0.541,0.847
1.65971E+12,2022-08-05T10:25:14.658,33.96,-0.205,0.509,0.835
1.65971E+12,2022-08-05T10:25:14.698,34,-0.193,0.51,0.831
1.65971E+12,2022-08-05T10:25:14.738,34.04,-0.132,0.602,0.913
1.65971E+12,2022-08-05T10:25:14.778,34.08,-0.157,0.708,0.998
1.65971E+12,2022-08-05T10:25:14.818,34.12,-0.327,0.783,1.011
1.65971E+12,2022-08-05T10:25:14.858,34.16,-0.447,0.832,0.957
1.65971E+12,2022-08-05T10:25:14.898,34.2,-0.421,0.917,0.858
1.65971E+12,2022-08-05T10:25:14.938,34.24,-0.253,1.036,0.743
1.65971E+12,2022-08-05T10:25:14.978,34.28,-0.247,1.086,0.626
1.65971E+12,2022-08-05T10:25:15.018,34.32,-0.025,0.995,0.566
1.65971E+12,2022-08-05T10:25:15.058,34.36,0.142,0.973,0.38
1.65971E+12,2022-08-05T10:25:15.098,34.4,0.178,1.171,0.392
1.65971E+12,2022-08-05T10:25:15.138,34.44,-0.102,0.85,0.401
1.65971E+12,2022-08-05T10:25:15.178,34.48,-0.372,0.633,0.518
1.65971E+12,2022-08-05T10:25:15.218,34.52,-0.553,0.491,0.769
1.65971E+12,2022-08-05T10:25:15.258,34.56,-0.65,0.414,0.713
1.65971E+12,2022-08-05T10:25:15.298,34.6,-0.189,0.628,0.261
1.65971E+12,2022-08-05T10:25:15.338,34.64,0.672,0.778,0.14
1.65971E+12,2022-08-05T10:25:15.378,34.68,1.179,0.754,0.451
1.65971E+12,2022-08-05T10:25:15.418,34.72,0.725,0.593,0.457
1.65971E+12,2022-08-05T10:25:15.458,34.76,0.958,0.612,0.595
1.65971E+12,2022-08-05T10:25:15.498,34.8,1.035,0.382,0.674
1.65971E+12,2022-08-05T10:25:15.538,34.84,1.027,0.329,0.655
1.65971E+12,2022-08-05T10:25:15.578,34.88,0.85,0.597,0.65
1.65971E+12,2022-08-05T10:25:15.618,34.92,0.749,0.842,0.493
1.65971E+12,2022-08-05T10:25:15.658,34.96,0.919,1.058,0.478
1.65971E+12,2022-08-05T10:25:15.698,35,1.135,1.292,0.46
1.65971E+12,2022-08-05T10:25:15.738,35.04,1.203,1.651,0.413
1.65971E+12,2022-08-05T10:25:15.778,35.08,0.807,1.643,0.246
1.65971E+12,2022-08-05T10:25:15.818,35.12,0.629,1.352,0.086
1.65971E+12,2022-08-05T10:25:15.858,35.16,0.603,1.067,0.042
1.65971E+12,2022-08-05T10:25:15.898,35.2,0.468,0.932,0.014
1.65971E+12,2022-08-05T10:25:15.938,35.24,0.565,0.853,0.014
1.65971E+12,2022-08-05T10:25:15.978,35.28,0.622,0.798,-0.203
1.65971E+12,2022-08-05T10:25:16.018,35.32,0.461,0.688,-0.268
1.65971E+12,2022-08-05T10:25:16.058,35.36,0.747,0.868,-0.197
1.65971E+12,2022-08-05T10:25:16.098,35.4,1.171,0.704,-0.221
1.65971E+12,2022-08-05T10:25:16.138,35.44,1.245,0.366,-0.427
1.65971E+12,2022-08-05T10:25:16.178,35.48,1.134,-0.02,-0.64
1.65971E+12,2022-08-05T10:25:16.218,35.52,1.28,-0.079,-0.557
1.65971E+12,2022-08-05T10:25:16.258,35.56,1.104,0.011,-0.575
1.65971E+12,2022-08-05T10:25:16.298,35.6,0.759,-0.091,-0.648
1.65971E+12,2022-08-05T10:25:16.338,35.64,0.759,-0.133,-1.043
1.65971E+12,2022-08-05T10:25:16.378,35.68,0.829,-0.19,-1.153
1.65971E+12,2022-08-05T10:25:16.418,35.72,0.641,-0.205,-0.841
1.65971E+12,2022-08-05T10:25:16.458,35.76,0.657,-0.212,-0.813
1.65971E+12,2022-08-05T10:25:16.498,35.8,0.222,-0.243,-0.687
1.65971E+12,2022-08-05T10:25:16.538,35.84,0.182,-0.143,-0.246
1.65971E+12,2022-08-05T10:25:16.578,35.88,0.336,-0.106,-0.613
1.65971E+12,2022-08-05T10:25:16.618,35.92,0.837,-0.142,-0.8
1.65971E+12,2022-08-05T10:25:16.658,35.96,1.099,0.107,-0.442
1.65971E+12,2022-08-05T10:25:16.698,36,0.77,0.28,-0.123
1.65971E+12,2022-08-05T10:25:16.738,36.04,0.736,0.226,-0.281
1.65971E+12,2022-08-05T10:25:16.778,36.08,0.779,0.145,-0.472
1.65971E+12,2022-08-05T10:25:16.818,36.12,0.667,0.07,-0.479
1.65971E+12,2022-08-05T10:25:16.858,36.16,0.669,-0.189,-0.819
1.65971E+12,2022-08-05T10:25:16.898,36.2,0.621,-0.374,-0.972
1.65971E+12,2022-08-05T10:25:16.938,36.24,0.266,-0.288,-0.782
1.65971E+12,2022-08-05T10:25:16.978,36.28,0.439,-0.145,-0.85
1.65971E+12,2022-08-05T10:25:17.018,36.32,0.401,-0.21,-0.826
1.65971E+12,2022-08-05T10:25:17.058,36.36,0.507,-0.156,-0.412
1.65971E+12,2022-08-05T10:25:17.098,36.4,0.489,0.035,-0.043
1.65971E+12,2022-08-05T10:25:17.138,36.44,0.435,0.214,-0.026
1.65971E+12,2022-08-05T10:25:17.178,36.48,0.453,0.491,-0.49
1.65971E+12,2022-08-05T10:25:17.218,36.52,0.76,0.564,-0.93
1.65971E+12,2022-08-05T10:25:17.258,36.56,0.678,0.753,-0.822
1.65971E+12,2022-08-05T10:25:17.298,36.6,0.515,1.03,-0.841
1.65971E+12,2022-08-05T10:25:17.338,36.64,0.333,1.279,-0.696
1.65971E+12,2022-08-05T10:25:17.378,36.68,0.655,1.339,-0.26
1.65971E+12,2022-08-05T10:25:17.418,36.72,0.663,1.42,-0.253
1.65971E+12,2022-08-05T10:25:17.458,36.76,0.454,1.224,-0.06
1.65971E+12,2022-08-05T10:25:17.498,36.8,0.09,1.296,0.686
1.65971E+12,2022-08-05T10:25:17.538,36.84,-0.12,1.269,0.503
1.65971E+12,2022-08-05T10:25:17.578,36.88,0.16,0.976,-0.094
1.65971E+12,2022-08-05T10:25:17.618,36.92,0.138,0.908,-0.297
1.65971E+12,2022-08-05T10:25:17.658,36.96,0.078,0.902,-0.328
1.65971E+12,2022-08-05T10:25:17.698,37,0.198,0.999,-0.231
1.65971E+12,2022-08-05T10:25:17.738,37.04,0.153,1.021,-0.092
1.65971E+12,2022-08-05T10:25:17.778,37.08,0.024,1.061,0.056
1.65971E+12,2022-08-05T10:25:17.818,37.12,0.024,1.021,0.033
1.65971E+12,2022-08-05T10:25:17.858,37.16,0.085,0.968,-0.056
1.65971E+12,2022-08-05T10:25:17.898,37.2,0.136,0.988,-0.137
1.65971E+12,2022-08-05T10:25:17.938,37.24,0.115,0.988,-0.173
1.65971E+12,2022-08-05T10:25:17.978,37.28,0.065,0.989,-0.112
1.65971E+12,2022-08-05T10:25:18.018,37.32,0.038,0.997,-0.028
1.65971E+12,2022-08-05T10:25:18.058,37.36,0.088,1.004,-0.022
1.65971E+12,2022-08-05T10:25:18.098,37.4,0.101,1.003,-0.039
1.65971E+12,2022-08-05T10:25:18.138,37.44,0.113,1.002,-0.067
1.65971E+12,2022-08-05T10:25:18.178,37.48,0.106,1.001,-0.098
1.65971E+12,2022-08-05T10:25:18.218,37.52,0.083,0.987,-0.057
1.65971E+12,2022-08-05T10:25:18.258,37.56,0.104,1.006,-0.034
1.65971E+12,2022-08-05T10:25:18.298,37.6,0.118,1.006,-0.048
1.65971E+12,2022-08-05T10:25:18.338,37.64,0.119,1.013,-0.062
1.65971E+12,2022-08-05T10:25:18.378,37.68,0.109,1.004,-0.071
1.65971E+12,2022-08-05T10:25:18.418,37.72,0.109,1.001,-0.066
1.65971E+12,2022-08-05T10:25:18.458,37.76,0.096,1.002,-0.063
1.65971E+12,2022-08-05T10:25:18.498,37.8,0.099,1.004,-0.047
1.65971E+12,2022-08-05T10:25:18.538,37.84,0.11,1.007,-0.049
1.65971E+12,2022-08-05T10:25:18.578,37.88,0.129,1.002,-0.051
1.65971E+12,2022-08-05T10:25:18.618,37.92,0.122,1.013,-0.044
1.65971E+12,2022-08-05T10:25:18.658,37.96,0.13,0.993,-0.05
1.65971E+12,2022-08-05T10:25:18.698,38,0.137,0.992,-0.041
1.65971E+12,2022-08-05T10:25:18.738,38.04,0.136,1.003,-0.022
1.65971E+12,2022-08-05T10:25:18.778,38.08,0.12,1.012,-0.021
1.65971E+12,2022-08-05T10:25:18.818,38.12,0.107,0.997,-0.053
1.65971E+12,2022-08-05T10:25:18.858,38.16,0.095,0.998,-0.058
1.65971E+12,2022-08-05T10:25:18.898,38.2,0.103,1.011,-0.048
1.65971E+12,2022-08-05T10:25:18.938,38.24,0.128,1.009,-0.038
1.65971E+12,2022-08-05T10:25:18.978,38.28,0.132,1,-0.026
1.65971E+12,2022-08-05T10:25:19.018,38.32,0.108,1.001,-0.035
1.65971E+12,2022-08-05T10:25:19.058,38.36,0.114,1.001,-0.039
1.65971E+12,2022-08-05T10:25:19.098,38.4,0.123,1.005,-0.053
1.65971E+12,2022-08-05T10:25:19.138,38.44,0.11,1,-0.032
1.65971E+12,2022-08-05T10:25:19.178,38.48,0.094,1.001,-0.014
1.65971E+12,2022-08-05T10:25:19.218,38.52,0.125,0.996,-0.031
1.65971E+12,2022-08-05T10:25:19.258,38.56,0.127,0.993,-0.026
1.65971E+12,2022-08-05T10:25:19.298,38.6,0.121,0.999,-0.026
1.65971E+12,2022-08-05T10:25:19.338,38.64,0.113,1.001,-0.03
1.65971E+12,2022-08-05T10:25:19.378,38.68,0.089,0.994,-0.035
1.65971E+12,2022-08-05T10:25:19.418,38.72,0.1,0.996,-0.057
1.65971E+12,2022-08-05T10:25:19.458,38.76,0.106,0.971,-0.084
1.65971E+12,2022-08-05T10:25:19.498,38.8,0.1,0.961,-0.104
1.65971E+12,2022-08-05T10:25:19.538,38.84,0.11,0.913,-0.101
1.65971E+12,2022-08-05T10:25:19.578,38.88,0.124,0.881,-0.039
1.65971E+12,2022-08-05T10:25:19.618,38.92,0.168,0.909,-0.034
1.65971E+12,2022-08-05T10:25:19.658,38.96,0.229,0.928,-0.089
1.65971E+12,2022-08-05T10:25:19.698,39,0.181,0.879,-0.092
1.65971E+12,2022-08-05T10:25:19.738,39.04,0.16,0.74,-0.081
1.65971E+12,2022-08-05T10:25:19.778,39.08,0.216,0.694,-0.072
1.65971E+12,2022-08-05T10:25:19.818,39.12,0.268,0.769,-0.046
1.65971E+12,2022-08-05T10:25:19.858,39.16,0.274,0.713,-0.055
1.65971E+12,2022-08-05T10:25:19.898,39.2,0.332,0.728,-0.052
1.65971E+12,2022-08-05T10:25:19.938,39.24,0.265,0.711,-0.061
1.65971E+12,2022-08-05T10:25:19.978,39.28,0.229,0.743,-0.053
1.65971E+12,2022-08-05T10:25:20.018,39.32,0.267,0.865,-0.04
1.65971E+12,2022-08-05T10:25:20.058,39.36,0.239,0.896,-0.035
1.65971E+12,2022-08-05T10:25:20.098,39.4,0.338,0.971,0.012
1.65971E+12,2022-08-05T10:25:20.138,39.44,0.417,1.026,0.067
1.65971E+12,2022-08-05T10:25:20.178,39.48,0.425,1.045,0.129
1.65971E+12,2022-08-05T10:25:20.218,39.52,0.452,1.22,0.157
1.65971E+12,2022-08-05T10:25:20.258,39.56,0.391,1.185,0.085
1.65971E+12,2022-08-05T10:25:20.298,39.6,0.427,1.256,0.129
1.65971E+12,2022-08-05T10:25:20.338,39.64,0.411,1.305,0.167
1.65971E+12,2022-08-05T10:25:20.378,39.68,0.427,1.225,0.206
1.65971E+12,2022-08-05T10:25:20.418,39.72,0.492,1.247,0.308
1.65971E+12,2022-08-05T10:25:20.458,39.76,0.535,1.298,0.354
1.65971E+12,2022-08-05T10:25:20.498,39.8,0.426,1.188,0.408
1.65971E+12,2022-08-05T10:25:20.538,39.84,0.277,1.108,0.442
1.65971E+12,2022-08-05T10:25:20.578,39.88,0.225,0.997,0.408
1.65971E+12,2022-08-05T10:25:20.618,39.92,0.33,1.036,0.45
1.65971E+12,2022-08-05T10:25:20.658,39.96,0.376,1.09,0.428
1.65971E+12,2022-08-05T10:25:20.698,40,0.43,1.142,0.481
1.65971E+12,2022-08-05T10:25:20.738,40.04,0.544,1.11,0.715
1.65971E+12,2022-08-05T10:25:20.778,40.08,0.66,0.675,0.941
1.65971E+12,2022-08-05T10:25:20.818,40.12,0.908,0.246,1.099
1.65971E+12,2022-08-05T10:25:20.858,40.16,1.064,0.312,0.95
1.65971E+12,2022-08-05T10:25:20.898,40.2,0.312,0.361,0.552
1.65971E+12,2022-08-05T10:25:20.938,40.24,0.392,0.275,0.353
1.65971E+12,2022-08-05T10:25:20.978,40.28,0.299,0.356,0.339
1.65971E+12,2022-08-05T10:25:21.018,40.32,0.383,0.408,0.207
1.65971E+12,2022-08-05T10:25:21.058,40.36,0.32,0.591,0.327
1.65971E+12,2022-08-05T10:25:21.098,40.4,0.109,0.682,0.429
1.65971E+12,2022-08-05T10:25:21.138,40.44,-0.035,0.632,0.593
1.65971E+12,2022-08-05T10:25:21.178,40.48,-0.082,0.65,0.89
1.65971E+12,2022-08-05T10:25:21.218,40.52,-0.246,0.634,1.027
1.65971E+12,2022-08-05T10:25:21.258,40.56,-0.378,0.516,0.884
1.65971E+12,2022-08-05T10:25:21.298,40.6,-0.467,0.705,0.769
1.65971E+12,2022-08-05T10:25:21.338,40.64,-0.348,1.489,1.383
1.65971E+12,2022-08-05T10:25:21.378,40.68,-0.424,1.444,0.869
1.65971E+12,2022-08-05T10:25:21.418,40.72,0.067,1.202,0.44
1.65971E+12,2022-08-05T10:25:21.458,40.76,-0.147,1.408,0.815
1.65971E+12,2022-08-05T10:25:21.498,40.8,0.077,0.715,0.757
1.65971E+12,2022-08-05T10:25:21.538,40.84,0.546,0.235,0.969
1.65971E+12,2022-08-05T10:25:21.578,40.88,0.147,0.468,1.008
1.65971E+12,2022-08-05T10:25:21.618,40.92,0.184,0.488,0.871
1.65971E+12,2022-08-05T10:25:21.658,40.96,0.335,0.498,0.918
1.65971E+12,2022-08-05T10:25:21.698,41,0.049,0.359,0.836
1.65971E+12,2022-08-05T10:25:21.738,41.04,0.064,0.267,0.937
1.65971E+12,2022-08-05T10:25:21.778,41.08,0.213,0.323,0.956
1.65971E+12,2022-08-05T10:25:21.818,41.12,0.214,0.357,0.994
1.65971E+12,2022-08-05T10:25:21.858,41.16,0.156,0.298,0.964
1.65971E+12,2022-08-05T10:25:21.898,41.2,0.207,0.291,0.962
1.65971E+12,2022-08-05T10:25:21.938,41.24,0.246,0.337,0.958
1.65971E+12,2022-08-05T10:25:21.978,41.28,0.169,0.301,0.927
1.65971E+12,2022-08-05T10:25:22.018,41.32,0.265,0.346,0.998
1.65971E+12,2022-08-05T10:25:22.058,41.36,0.234,0.269,0.987
1.65971E+12,2022-08-05T10:25:22.098,41.4,0.157,0.274,0.929
1.65971E+12,2022-08-05T10:25:22.138,41.44,0.205,0.349,0.968
1.65971E+12,2022-08-05T10:25:22.178,41.48,0.191,0.269,0.962
1.65971E+12,2022-08-05T10:25:22.218,41.52,0.196,0.267,0.972
1.65971E+12,2022-08-05T10:25:22.258,41.56,0.159,0.254,0.957
1.65971E+12,2022-08-05T10:25:22.298,41.6,0.178,0.259,0.967
1.65971E+12,2022-08-05T10:25:22.338,41.64,0.201,0.267,0.979
1.65971E+12,2022-08-05T10:25:22.378,41.68,0.182,0.258,0.967
1.65971E+12,2022-08-05T10:25:22.418,41.72,0.21,0.271,0.975
1.65971E+12,2022-08-05T10:25:22.458,41.76,0.206,0.278,0.974
1.65971E+12,2022-08-05T10:25:22.498,41.8,0.188,0.273,0.979
1.65971E+12,2022-08-05T10:25:22.538,41.84,0.181,0.258,0.965
1.65971E+12,2022-08-05T10:25:22.578,41.88,0.188,0.256,0.979
1.65971E+12,2022-08-05T10:25:22.618,41.92,0.179,0.253,0.976
1.65971E+12,2022-08-05T10:25:22.658,41.96,0.182,0.247,0.975
1.65971E+12,2022-08-05T10:25:22.698,42,0.186,0.253,0.976
1.65971E+12,2022-08-05T10:25:22.738,42.04,0.183,0.246,0.978
1.65971E+12,2022-08-05T10:25:22.778,42.08,0.217,0.269,0.985
1.65971E+12,2022-08-05T10:25:22.818,42.12,0.186,0.246,0.971
1.65971E+12,2022-08-05T10:25:22.858,42.16,0.194,0.25,0.976
1.65971E+12,2022-08-05T10:25:22.898,42.2,0.191,0.247,0.974
1.65971E+12,2022-08-05T10:25:22.938,42.24,0.205,0.251,0.977
1.65971E+12,2022-08-05T10:25:22.978,42.28,0.198,0.251,0.975
1.65971E+12,2022-08-05T10:25:23.018,42.32,0.197,0.248,0.975
1.65971E+12,2022-08-05T10:25:23.058,42.36,0.195,0.243,0.965
1.65971E+12,2022-08-05T10:25:23.098,42.4,0.175,0.24,0.97
1.65971E+12,2022-08-05T10:25:23.138,42.44,0.208,0.256,0.971
1.65971E+12,2022-08-05T10:25:23.178,42.48,0.165,0.233,0.929
1.65971E+12,2022-08-05T10:25:23.218,42.52,0.167,0.219,0.934
1.65971E+12,2022-08-05T10:25:23.258,42.56,0.265,0.302,0.982
1.65971E+12,2022-08-05T10:25:23.298,42.6,0.177,0.257,0.93
1.65971E+12,2022-08-05T10:25:23.338,42.64,0.22,0.269,0.926
1.65971E+12,2022-08-05T10:25:23.378,42.68,0.268,0.304,0.992
1.65971E+12,2022-08-05T10:25:23.418,42.72,0.278,0.357,0.942
1.65971E+12,2022-08-05T10:25:23.458,42.76,0.296,0.36,0.974
1.65971E+12,2022-08-05T10:25:23.498,42.8,0.278,0.338,0.96
1.65971E+12,2022-08-05T10:25:23.538,42.84,0.313,0.354,0.913
1.65971E+12,2022-08-05T10:25:23.578,42.88,0.28,0.327,0.92
1.65971E+12,2022-08-05T10:25:23.618,42.92,0.325,0.367,0.908
1.65971E+12,2022-08-05T10:25:23.658,42.96,0.396,0.42,0.986
1.65971E+12,2022-08-05T10:25:23.698,43,0.543,0.652,1.113
1.65971E+12,2022-08-05T10:25:23.738,43.04,0.445,0.887,1.326
1.65971E+12,2022-08-05T10:25:23.778,43.08,0.509,1.33,1.197
1.65971E+12,2022-08-05T10:25:23.818,43.12,-0.43,1.169,0.236
1.65971E+12,2022-08-05T10:25:23.858,43.16,-0.121,1.335,0.199
1.65971E+12,2022-08-05T10:25:23.898,43.2,-0.141,1.136,0.336
1.65971E+12,2022-08-05T10:25:23.938,43.24,-0.152,0.79,0.462
1.65971E+12,2022-08-05T10:25:23.978,43.28,-0.286,0.855,0.62
1.65971E+12,2022-08-05T10:25:24.018,43.32,-0.131,1.018,0.893
1.65971E+12,2022-08-05T10:25:24.058,43.36,0.074,1.089,0.988
1.65971E+12,2022-08-05T10:25:24.098,43.4,0.273,0.938,0.844
1.65971E+12,2022-08-05T10:25:24.138,43.44,0.364,0.78,0.786
1.65971E+12,2022-08-05T10:25:24.178,43.48,0.569,0.582,0.924
1.65971E+12,2022-08-05T10:25:24.218,43.52,0.392,0.419,1.023
1.65971E+12,2022-08-05T10:25:24.258,43.56,0.234,0.3,0.911
1.65971E+12,2022-08-05T10:25:24.298,43.6,0.28,0.213,0.652
1.65971E+12,2022-08-05T10:25:24.338,43.64,0.525,0.336,0.47
1.65971E+12,2022-08-05T10:25:24.378,43.68,0.577,0.498,0.621
1.65971E+12,2022-08-05T10:25:24.418,43.72,0.502,0.53,0.834
1.65971E+12,2022-08-05T10:25:24.458,43.76,0.407,0.566,0.908
1.65971E+12,2022-08-05T10:25:24.498,43.8,0.468,0.501,0.929
1.65971E+12,2022-08-05T10:25:24.538,43.84,0.499,0.476,1.009
1.65971E+12,2022-08-05T10:25:24.578,43.88,0.379,0.51,1.08
1.65971E+12,2022-08-05T10:25:24.618,43.92,0.195,0.678,1.089
1.65971E+12,2022-08-05T10:25:24.658,43.96,0.025,0.881,1.059
1.65971E+12,2022-08-05T10:25:24.698,44,-0.178,0.874,0.975
1.65971E+12,2022-08-05T10:25:24.738,44.04,-0.35,0.86,0.914
1.65971E+12,2022-08-05T10:25:24.778,44.08,-0.377,0.787,0.817
1.65971E+12,2022-08-05T10:25:24.818,44.12,-0.181,0.786,0.738
1.65971E+12,2022-08-05T10:25:24.858,44.16,-0.087,0.833,0.726
1.65971E+12,2022-08-05T10:25:24.898,44.2,-0.04,0.797,0.629
1.65971E+12,2022-08-05T10:25:24.938,44.24,-0.24,0.749,0.499
1.65971E+12,2022-08-05T10:25:24.978,44.28,-0.436,0.978,0.469
1.65971E+12,2022-08-05T10:25:25.018,44.32,-0.525,0.895,0.396
1.65971E+12,2022-08-05T10:25:25.058,44.36,-0.413,0.694,0.497
1.65971E+12,2022-08-05T10:25:25.098,44.4,-0.407,0.779,0.564
1.65971E+12,2022-08-05T10:25:25.138,44.44,-0.355,0.795,0.482
1.65971E+12,2022-08-05T10:25:25.178,44.48,-0.24,0.767,0.503
1.65971E+12,2022-08-05T10:25:25.218,44.52,0.048,0.807,0.477
1.65971E+12,2022-08-05T10:25:25.258,44.56,0.313,0.664,0.552
1.65971E+12,2022-08-05T10:25:25.298,44.6,0.432,0.585,0.634
1.65971E+12,2022-08-05T10:25:25.338,44.64,0.507,0.497,0.764
1.65971E+12,2022-08-05T10:25:25.378,44.68,0.771,0.688,0.714
1.65971E+12,2022-08-05T10:25:25.418,44.72,1.056,0.935,0.567
1.65971E+12,2022-08-05T10:25:25.458,44.76,1.21,1.268,0.574
1.65971E+12,2022-08-05T10:25:25.498,44.8,0.973,1.313,0.354
1.65971E+12,2022-08-05T10:25:25.538,44.84,0.353,1.237,-0.008
1.65971E+12,2022-08-05T10:25:25.578,44.88,0.009,1.075,0.385
1.65971E+12,2022-08-05T10:25:25.618,44.92,0.016,0.654,0.68
1.65971E+12,2022-08-05T10:25:25.658,44.96,0.358,0.344,0.663
1.65971E+12,2022-08-05T10:25:25.698,45,0.898,0.909,0.898
1.65971E+12,2022-08-05T10:25:25.738,45.04,1.077,0.757,0.821
1.65971E+12,2022-08-05T10:25:25.778,45.08,1.284,0.498,0.639
1.65971E+12,2022-08-05T10:25:25.818,45.12,1.58,0.39,0.684
1.65971E+12,2022-08-05T10:25:25.858,45.16,1.214,0.327,0.93
1.65971E+12,2022-08-05T10:25:25.898,45.2,0.913,0.375,0.584
1.65971E+12,2022-08-05T10:25:25.938,45.24,1.067,0.389,0.267
1.65971E+12,2022-08-05T10:25:25.978,45.28,1.166,0.358,0.034
1.65971E+12,2022-08-05T10:25:26.018,45.32,1.118,0.25,-0.135
1.65971E+12,2022-08-05T10:25:26.058,45.36,1.013,0.192,-0.315
1.65971E+12,2022-08-05T10:25:26.098,45.4,1.056,0.202,-0.638
1.65971E+12,2022-08-05T10:25:26.138,45.44,1.061,0.139,-0.717
1.65971E+12,2022-08-05T10:25:26.178,45.48,1.004,0.048,-0.837
1.65971E+12,2022-08-05T10:25:26.218,45.52,0.882,-0.019,-0.887
1.65971E+12,2022-08-05T10:25:26.258,45.56,0.735,-0.043,-0.781
1.65971E+12,2022-08-05T10:25:26.298,45.6,0.709,-0.04,-1.013
1.65971E+12,2022-08-05T10:25:26.338,45.64,0.89,-0.033,-0.672
1.65971E+12,2022-08-05T10:25:26.378,45.68,0.847,0.051,-0.409
1.65971E+12,2022-08-05T10:25:26.418,45.72,0.585,0.163,-0.101
1.65971E+12,2022-08-05T10:25:26.458,45.76,0.536,0.148,-0.068
1.65971E+12,2022-08-05T10:25:26.498,45.8,0.609,0.059,-0.357
1.65971E+12,2022-08-05T10:25:26.538,45.84,0.592,-0.024,-0.306
1.65971E+12,2022-08-05T10:25:26.578,45.88,0.514,-0.143,-0.331
1.65971E+12,2022-08-05T10:25:26.618,45.92,0.582,-0.09,-0.265
1.65971E+12,2022-08-05T10:25:26.658,45.96,0.642,0.038,-0.343
1.65971E+12,2022-08-05T10:25:26.698,46,0.725,0.11,-0.419
1.65971E+12,2022-08-05T10:25:26.738,46.04,0.826,0.082,-0.416
1.65971E+12,2022-08-05T10:25:26.778,46.08,0.85,0.065,-0.373
1.65971E+12,2022-08-05T10:25:26.818,46.12,0.746,0.101,-0.398
1.65971E+12,2022-08-05T10:25:26.858,46.16,0.68,0.175,-0.344
1.65971E+12,2022-08-05T10:25:26.898,46.2,0.555,0.264,-0.26
1.65971E+12,2022-08-05T10:25:26.938,46.24,0.654,0.356,-0.304
1.65971E+12,2022-08-05T10:25:26.978,46.28,0.615,0.495,-0.269
1.65971E+12,2022-08-05T10:25:27.018,46.32,0.53,0.522,-0.233
1.65971E+12,2022-08-05T10:25:27.058,46.36,0.84,0.686,-0.417
1.65971E+12,2022-08-05T10:25:27.098,46.4,0.594,0.905,-0.394
1.65971E+12,2022-08-05T10:25:27.138,46.44,0.527,1.409,-0.348
1.65971E+12,2022-08-05T10:25:27.178,46.48,0.604,1.452,-0.392
1.65971E+12,2022-08-05T10:25:27.218,46.52,0.53,1.302,-0.222
1.65971E+12,2022-08-05T10:25:27.258,46.56,0.43,1.022,-0.021
1.65971E+12,2022-08-05T10:25:27.298,46.6,0.027,1.067,0.15
1.65971E+12,2022-08-05T10:25:27.338,46.64,-0.158,1.262,0.355
1.65971E+12,2022-08-05T10:25:27.378,46.68,-0.374,1.212,0.481
1.65971E+12,2022-08-05T10:25:27.418,46.72,0.067,1.006,0.186
1.65971E+12,2022-08-05T10:25:27.458,46.76,-0.014,0.876,0.05
1.65971E+12,2022-08-05T10:25:27.498,46.8,-0.034,0.898,-0.09
1.65971E+12,2022-08-05T10:25:27.538,46.84,0.148,1.008,-0.177
1.65971E+12,2022-08-05T10:25:27.578,46.88,0.186,1.048,-0.18
1.65971E+12,2022-08-05T10:25:27.618,46.92,0.131,1.002,-0.075
1.65971E+12,2022-08-05T10:25:27.658,46.96,-0.045,1.006,0.116
1.65971E+12,2022-08-05T10:25:27.698,47,-0.199,0.959,0.139
1.65971E+12,2022-08-05T10:25:27.738,47.04,-0.018,0.969,0.04
1.65971E+12,2022-08-05T10:25:27.778,47.08,0.111,1.032,0.013
1.65971E+12,2022-08-05T10:25:27.818,47.12,0.083,1.051,0.004
1.65971E+12,2022-08-05T10:25:27.858,47.16,0.038,1.022,0.028
1.65971E+12,2022-08-05T10:25:27.898,47.2,0.072,1.033,0.121
1.65971E+12,2022-08-05T10:25:27.938,47.24,0.014,0.997,0.113
1.65971E+12,2022-08-05T10:25:27.978,47.28,-0.008,0.971,0.08
1.65971E+12,2022-08-05T10:25:28.018,47.32,0.031,1.01,0.07
1.65971E+12,2022-08-05T10:25:28.058,47.36,0.071,1.021,0.091
1.65971E+12,2022-08-05T10:25:28.098,47.4,0.125,1.01,0.105
1.65971E+12,2022-08-05T10:25:28.138,47.44,0.135,0.992,0.1
